newspaper,section,link,datetime,author,file_name
ABC,gente,https://www.abc.es/gente/esther-dona-acerca-posturas-juez-pedraz-tras-ruptura-20221115132359-nt.html,15/11/2022,AARÓN ESPÍ,ABC_aaron-espi-esther-dona-acerca-posturas-juez-pedraz-tras-ruptura.txt.json
ABC,cultura,https://www.abc.es/cultura/moneda-revela-emperador-romano-perdido-20221124145035-nt.html,24/11/2022,ABC,ABC_abc-moneda-revela-emperador-romano-perdido.txt.json
ABC,economia,https://www.abc.es/economia/fortunas-siete-ccaa-gobernadas-psoe-seguiran-pagando-20221117132927-nt.html,17/11/2022,BRUNO PÉREZ,ABC_bruno-perez-fortunas-siete-ccaa-gobernadas-psoe-seguiran-pagando.txt.json
ABC,espana,https://www.abc.es/espana/sanchez-presume-ley-solo-vicepresidentas-olvida-irene-20221122124404-nt.html,22/11/2022,GREGORIA CARO,ABC_gregoria-caro-sanchez-presume-ley-solo-vicepresidentas-olvida-irene.txt.json
ABC,espana,https://www.abc.es/espana/ministra-irene-montero-atrinchera-pese-aluvion-criticas-20221118215837-nt.html,18/11/2022,GREGORIA CARO Y ELENA CALVO,ABC_gregoria-caro-y-elena-calvo-ministra-irene-montero-atrinchera-pese-aluvion-criticas.txt.json
ABC,cultura,https://www.abc.es/cultura/mikecrack-youtuber-espanol-supera-ibai-rubius-vive-20221117143559-nt.html,17/11/2022,JAVIER VILLUENDAS,ABC_javier-villuendas-mikecrack-youtuber-espanol-supera-ibai-rubius-vive.txt.json
ABC,gente,https://www.abc.es/gente/esther-dona-pronuncia-tras-nueva-version-ruptura-20221116150628-vi.html,17/11/2022,LAURA G. CALLEJA,ABC_laura-g-calleja-esther-dona-pronuncia-tras-nueva-version-ruptura-vi.txt.json
ABC,historia,https://www.abc.es/historia/queipo-llano-brutales-arengas-aterrar-frente-popular-20221024135303-nt.html,26/10/2022,MANUEL P. VILLATORO,ABC_manuel-p-villatoro-queipo-llano-brutales-arengas-aterrar-frente-popular.txt.json
ABC,cultura,https://www.abc.es/cultura/musica/pancho-varona-tras-ruptura-sabina-20221117154453-nt.html,17/11/2022,NACHO SERRANO,ABC_nacho-serrano-pancho-varona-tras-ruptura-sabina.txt.json
ABC,ciencia,https://www.abc.es/ciencia/ratas-sacuden-cabeza-ritmo-mozart-lady-gaga-20221111172804-nt.html,14/11/2022,PATRICIA BIOSCA,ABC_patricia-biosca-ratas-sacuden-cabeza-ritmo-mozart-lady-gaga.txt.json
